GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(Player-2),OrdinalPosition(PlayerName-1),OrdinalPosition(Player-2 rank),OrdinalPosition(PlayerName-2),PlayerType(PlayerType-1),PlayerType(PlayerType-0),PlayerType(PlayerType-2),Winner(PlayerIdx)
-2145448892,SushiGo,3,GAME_OVER,82,0,3,33,Basic MCTS,41.0,43.0,50.0,groupG_rhea,rhea,3,Basic MCTS,3,2,2,1,groupG_rhea,1,rhea,groupG_rhea,Basic MCTS,rhea,2
-1861931179,SushiGo,3,GAME_OVER,83,0,3,34,Basic MCTS,64.0,37.0,56.0,groupG_rhea,rhea,1,Basic MCTS,1,3,3,2,groupG_rhea,2,rhea,groupG_rhea,Basic MCTS,rhea,1
1997711074,SushiGo,3,GAME_OVER,81,0,3,35,Basic MCTS,32.0,33.0,60.0,groupG_rhea,rhea,3,Basic MCTS,3,2,2,1,groupG_rhea,1,rhea,groupG_rhea,Basic MCTS,rhea,2
-1754251921,SushiGo,3,GAME_OVER,83,0,3,36,Basic MCTS,40.0,36.0,32.0,groupG_rhea,rhea,1,Basic MCTS,1,2,2,3,groupG_rhea,3,rhea,groupG_rhea,Basic MCTS,rhea,1
1517153800,SushiGo,3,GAME_OVER,81,0,3,37,Basic MCTS,40.0,39.0,37.0,groupG_rhea,rhea,1,Basic MCTS,1,2,2,3,groupG_rhea,3,rhea,groupG_rhea,Basic MCTS,rhea,1
1907918688,SushiGo,3,GAME_OVER,81,0,3,38,Basic MCTS,46.0,40.0,50.0,groupG_rhea,rhea,2,Basic MCTS,2,3,3,1,groupG_rhea,1,rhea,groupG_rhea,Basic MCTS,rhea,2
495736360,SushiGo,3,GAME_OVER,81,0,3,39,Basic MCTS,47.0,30.0,42.0,groupG_rhea,rhea,1,Basic MCTS,1,3,3,2,groupG_rhea,2,rhea,groupG_rhea,Basic MCTS,rhea,1
341975755,SushiGo,3,GAME_OVER,81,0,3,40,Basic MCTS,36.0,60.0,52.0,groupG_rhea,rhea,3,Basic MCTS,3,1,1,2,groupG_rhea,2,rhea,groupG_rhea,Basic MCTS,rhea,0
-127789136,SushiGo,3,GAME_OVER,83,0,3,41,Basic MCTS,44.0,46.0,40.0,groupG_rhea,rhea,2,Basic MCTS,2,1,1,3,groupG_rhea,3,rhea,groupG_rhea,Basic MCTS,rhea,0
-2020838618,SushiGo,3,GAME_OVER,83,0,3,42,Basic MCTS,42.0,40.0,37.0,groupG_rhea,rhea,1,Basic MCTS,1,2,2,3,groupG_rhea,3,rhea,groupG_rhea,Basic MCTS,rhea,1
